seriesName,startTime,value,endTime
304,2026-02-15T19:00:00Z,0,2026-02-15T19:59:59Z
304,2026-02-15T20:00:00Z,0,2026-02-15T20:59:59Z
304,2026-02-15T21:00:00Z,0,2026-02-15T21:59:59Z
304,2026-02-15T22:00:00Z,0,2026-02-15T22:59:59Z
304,2026-02-15T23:00:00Z,0,2026-02-15T23:59:59Z
304,2026-02-16T00:00:00Z,0,2026-02-16T00:59:59Z
304,2026-02-16T01:00:00Z,2,2026-02-16T01:59:59Z
304,2026-02-16T02:00:00Z,0,2026-02-16T02:59:59Z
304,2026-02-16T03:00:00Z,2,2026-02-16T03:59:59Z
304,2026-02-16T04:00:00Z,0,2026-02-16T04:59:59Z
304,2026-02-16T05:00:00Z,0,2026-02-16T05:59:59Z
304,2026-02-16T06:00:00Z,0,2026-02-16T06:59:59Z
304,2026-02-16T07:00:00Z,0,2026-02-16T07:59:59Z
304,2026-02-16T08:00:00Z,0,2026-02-16T08:59:59Z
304,2026-02-16T09:00:00Z,0,2026-02-16T09:59:59Z
304,2026-02-16T10:00:00Z,0,2026-02-16T10:59:59Z
304,2026-02-16T11:00:00Z,0,2026-02-16T11:59:59Z
304,2026-02-16T12:00:00Z,0,2026-02-16T12:59:59Z
304,2026-02-16T13:00:00Z,0,2026-02-16T13:59:59Z
304,2026-02-16T14:00:00Z,0,2026-02-16T14:59:59Z
304,2026-02-16T15:00:00Z,2,2026-02-16T15:59:59Z
304,2026-02-16T16:00:00Z,0,2026-02-16T16:59:59Z
304,2026-02-16T17:00:00Z,10,2026-02-16T17:59:59Z
304,2026-02-16T18:00:00Z,0,2026-02-16T18:59:59Z
304,2026-02-16T19:00:00Z,2,2026-02-16T19:59:59Z
304,2026-02-16T20:00:00Z,0,2026-02-16T20:59:59Z
304,2026-02-16T21:00:00Z,0,2026-02-16T21:59:59Z
304,2026-02-16T22:00:00Z,9,2026-02-16T22:59:59Z
304,2026-02-16T23:00:00Z,2,2026-02-16T23:59:59Z
304,2026-02-17T00:00:00Z,0,2026-02-17T00:59:59Z
304,2026-02-17T01:00:00Z,0,2026-02-17T01:59:59Z
304,2026-02-17T02:00:00Z,0,2026-02-17T02:59:59Z
304,2026-02-17T03:00:00Z,6,2026-02-17T03:59:59Z
304,2026-02-17T04:00:00Z,0,2026-02-17T04:59:59Z
304,2026-02-17T05:00:00Z,0,2026-02-17T05:59:59Z
304,2026-02-17T06:00:00Z,0,2026-02-17T06:59:59Z
304,2026-02-17T07:00:00Z,0,2026-02-17T07:59:59Z
304,2026-02-17T08:00:00Z,0,2026-02-17T08:59:59Z
304,2026-02-17T09:00:00Z,0,2026-02-17T09:59:59Z
304,2026-02-17T10:00:00Z,0,2026-02-17T10:59:59Z
304,2026-02-17T11:00:00Z,1,2026-02-17T11:59:59Z
304,2026-02-17T12:00:00Z,1,2026-02-17T12:59:59Z
304,2026-02-17T13:00:00Z,0,2026-02-17T13:59:59Z
304,2026-02-17T14:00:00Z,0,2026-02-17T14:59:59Z
304,2026-02-17T15:00:00Z,0,2026-02-17T15:59:59Z
304,2026-02-17T16:00:00Z,0,2026-02-17T16:59:59Z
304,2026-02-17T17:00:00Z,6,2026-02-17T17:59:59Z
304,2026-02-17T18:00:00Z,0,2026-02-17T18:59:59Z
304,2026-02-17T19:00:00Z,8,2026-02-17T19:59:59Z
304,2026-02-17T20:00:00Z,0,2026-02-17T20:59:59Z
304,2026-02-17T21:00:00Z,3,2026-02-17T21:59:59Z
304,2026-02-17T22:00:00Z,8,2026-02-17T22:59:59Z
304,2026-02-17T23:00:00Z,1,2026-02-17T23:59:59Z
304,2026-02-18T00:00:00Z,0,2026-02-18T00:59:59Z
304,2026-02-18T01:00:00Z,0,2026-02-18T01:59:59Z
304,2026-02-18T02:00:00Z,0,2026-02-18T02:59:59Z
304,2026-02-18T03:00:00Z,0,2026-02-18T03:59:59Z
304,2026-02-18T04:00:00Z,0,2026-02-18T04:59:59Z
304,2026-02-18T05:00:00Z,1,2026-02-18T05:59:59Z
304,2026-02-18T06:00:00Z,0,2026-02-18T06:59:59Z
304,2026-02-18T07:00:00Z,0,2026-02-18T07:59:59Z
304,2026-02-18T08:00:00Z,0,2026-02-18T08:59:59Z
304,2026-02-18T09:00:00Z,0,2026-02-18T09:59:59Z
304,2026-02-18T10:00:00Z,0,2026-02-18T10:59:59Z
304,2026-02-18T11:00:00Z,0,2026-02-18T11:59:59Z
304,2026-02-18T12:00:00Z,0,2026-02-18T12:59:59Z
304,2026-02-18T13:00:00Z,0,2026-02-18T13:59:59Z
304,2026-02-18T14:00:00Z,0,2026-02-18T14:59:59Z
304,2026-02-18T15:00:00Z,0,2026-02-18T15:59:59Z
304,2026-02-18T16:00:00Z,0,2026-02-18T16:59:59Z
304,2026-02-18T17:00:00Z,2,2026-02-18T17:59:59Z
304,2026-02-18T18:00:00Z,1,2026-02-18T18:59:59Z
304,2026-02-18T19:00:00Z,0,2026-02-18T19:59:59Z
304,2026-02-18T20:00:00Z,0,2026-02-18T20:59:59Z
304,2026-02-18T21:00:00Z,0,2026-02-18T21:59:59Z
304,2026-02-18T22:00:00Z,0,2026-02-18T22:59:59Z
304,2026-02-18T23:00:00Z,0,2026-02-18T23:59:59Z
304,2026-02-19T00:00:00Z,0,2026-02-19T00:59:59Z
304,2026-02-19T01:00:00Z,1,2026-02-19T01:59:59Z
304,2026-02-19T02:00:00Z,0,2026-02-19T02:59:59Z
304,2026-02-19T03:00:00Z,0,2026-02-19T03:59:59Z
304,2026-02-19T04:00:00Z,0,2026-02-19T04:59:59Z
304,2026-02-19T05:00:00Z,15,2026-02-19T05:59:59Z
304,2026-02-19T06:00:00Z,0,2026-02-19T06:59:59Z
304,2026-02-19T07:00:00Z,0,2026-02-19T07:59:59Z
304,2026-02-19T08:00:00Z,0,2026-02-19T08:59:59Z
304,2026-02-19T09:00:00Z,0,2026-02-19T09:59:59Z
304,2026-02-19T10:00:00Z,0,2026-02-19T10:59:59Z
304,2026-02-19T11:00:00Z,0,2026-02-19T11:59:59Z
304,2026-02-19T12:00:00Z,1,2026-02-19T12:59:59Z
304,2026-02-19T13:00:00Z,0,2026-02-19T13:59:59Z
304,2026-02-19T14:00:00Z,0,2026-02-19T14:59:59Z
304,2026-02-19T15:00:00Z,0,2026-02-19T15:59:59Z
304,2026-02-19T16:00:00Z,0,2026-02-19T16:59:59Z
304,2026-02-19T17:00:00Z,0,2026-02-19T17:59:59Z
304,2026-02-19T18:00:00Z,1,2026-02-19T18:59:59Z
304,2026-02-19T19:00:00Z,0,2026-02-19T19:59:59Z
304,2026-02-19T20:00:00Z,0,2026-02-19T20:59:59Z
